datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,day,month,year,hour,dow,woy,pred_count
2012-12-28 08:00:00,1,0,1,2,0.24,0.2424,0.6,0.1343,28,12,2012,8,4,52,274
2012-12-28 09:00:00,1,0,1,2,0.24,0.2121,0.6,0.2836,28,12,2012,9,4,52,170
2012-12-28 10:00:00,1,0,1,2,0.26,0.2424,0.56,0.2537,28,12,2012,10,4,52,134
2012-12-28 11:00:00,1,0,1,2,0.28,0.2727,0.52,0.2239,28,12,2012,11,4,52,143
2012-12-28 12:00:00,1,0,1,2,0.3,0.303,0.49,0.1343,28,12,2012,12,4,52,165
2012-12-28 13:00:00,1,0,1,2,0.3,0.303,0.49,0.1343,28,12,2012,13,4,52,167
2012-12-28 14:00:00,1,0,1,2,0.3,0.303,0.49,0.1343,28,12,2012,14,4,52,166
2012-12-28 15:00:00,1,0,1,2,0.3,0.3182,0.49,0.0,28,12,2012,15,4,52,170
2012-12-28 16:00:00,1,0,1,1,0.3,0.303,0.49,0.1343,28,12,2012,16,4,52,164
2012-12-28 17:00:00,1,0,1,1,0.24,0.2424,0.6,0.1343,28,12,2012,17,4,52,167
2012-12-28 18:00:00,1,0,1,1,0.24,0.2424,0.6,0.1343,28,12,2012,18,4,52,161
2012-12-28 19:00:00,1,0,1,2,0.24,0.2273,0.65,0.194,28,12,2012,19,4,52,141
2012-12-28 20:00:00,1,0,1,2,0.24,0.2576,0.65,0.1045,28,12,2012,20,4,52,80
2012-12-28 21:00:00,1,0,1,2,0.24,0.2424,0.7,0.1343,28,12,2012,21,4,52,64
2012-12-28 22:00:00,1,0,1,2,0.24,0.2576,0.7,0.0896,28,12,2012,22,4,52,51
2012-12-28 23:00:00,1,0,1,2,0.24,0.2576,0.65,0.0896,28,12,2012,23,4,52,36
2012-12-29 00:00:00,1,0,0,2,0.24,0.2424,0.7,0.0,29,12,2012,0,5,52,24
2012-12-29 01:00:00,1,0,0,2,0.24,0.2424,0.75,0.0896,29,12,2012,1,5,52,26
2012-12-29 02:00:00,1,0,0,2,0.24,0.2424,0.7,0.0,29,12,2012,2,5,52,25
2012-12-29 03:00:00,1,0,0,2,0.24,0.2424,0.75,0.0,29,12,2012,3,5,52,18
2012-12-29 04:00:00,1,0,0,2,0.24,0.2424,0.75,0.0896,29,12,2012,4,5,52,6
2012-12-29 05:00:00,1,0,0,2,0.24,0.2424,0.75,0.0896,29,12,2012,5,5,52,6
2012-12-29 06:00:00,1,0,0,2,0.26,0.2424,0.7,0.1045,29,12,2012,6,5,52,5
2012-12-29 07:00:00,1,0,0,2,0.26,0.2424,0.7,0.1343,29,12,2012,7,5,52,17
2012-12-29 08:00:00,1,0,0,2,0.26,0.2424,0.81,0.0,29,12,2012,8,5,52,31
2012-12-29 09:00:00,1,0,0,2,0.26,0.2424,0.81,0.0,29,12,2012,9,5,52,72
2012-12-29 10:00:00,1,0,0,3,0.26,0.2424,0.81,0.1343,29,12,2012,10,5,52,69
2012-12-29 11:00:00,1,0,0,3,0.2,0.2424,0.93,0.0896,29,12,2012,11,5,52,108
2012-12-29 12:00:00,1,0,0,3,0.2,0.2424,1.0,0.0,29,12,2012,12,5,52,110
2012-12-29 13:00:00,1,0,0,3,0.2,0.2424,1.0,0.0,29,12,2012,13,5,52,111
2012-12-29 14:00:00,1,0,0,2,0.24,0.2424,0.87,0.0896,29,12,2012,14,5,52,115
2012-12-29 15:00:00,1,0,0,2,0.24,0.2424,0.87,0.0,29,12,2012,15,5,52,113
2012-12-29 16:00:00,1,0,0,1,0.3,0.2424,0.75,0.1045,29,12,2012,16,5,52,130
2012-12-29 17:00:00,1,0,0,1,0.26,0.2424,0.79,0.1045,29,12,2012,17,5,52,100
2012-12-29 18:00:00,1,0,0,1,0.3,0.2424,0.7,0.194,29,12,2012,18,5,52,93
2012-12-29 19:00:00,1,0,0,2,0.3,0.2424,0.61,0.2537,29,12,2012,19,5,52,72
2012-12-29 20:00:00,1,0,0,2,0.3,0.2424,0.56,0.5522,29,12,2012,20,5,52,54
2012-12-29 21:00:00,1,0,0,2,0.28,0.2424,0.56,0.4925,29,12,2012,21,5,52,46
2012-12-29 22:00:00,1,0,0,2,0.26,0.2424,0.6,0.4627,29,12,2012,22,5,52,48
2012-12-29 23:00:00,1,0,0,2,0.26,0.2424,0.6,0.0,29,12,2012,23,5,52,33
2012-12-30 00:00:00,1,0,0,2,0.26,0.2576,0.6,0.1642,30,12,2012,0,6,52,25
2012-12-30 01:00:00,1,0,0,2,0.26,0.2273,0.56,0.4179,30,12,2012,1,6,52,25
2012-12-30 02:00:00,1,0,0,2,0.26,0.2424,0.56,0.2836,30,12,2012,2,6,52,32
2012-12-30 03:00:00,1,0,0,2,0.26,0.2273,0.56,0.4179,30,12,2012,3,6,52,16
2012-12-30 04:00:00,1,0,0,2,0.26,0.2576,0.56,0.2239,30,12,2012,4,6,52,3
2012-12-30 05:00:00,1,0,0,2,0.26,0.2273,0.48,0.2985,30,12,2012,5,6,52,3
2012-12-30 06:00:00,1,0,0,2,0.24,0.197,0.52,0.4179,30,12,2012,6,6,52,7
2012-12-30 07:00:00,1,0,0,1,0.24,0.2121,0.56,0.3582,30,12,2012,7,6,52,16
2012-12-30 08:00:00,1,0,0,1,0.24,0.197,0.52,0.4627,30,12,2012,8,6,52,46
2012-12-30 09:00:00,1,0,0,1,0.24,0.2121,0.52,0.3881,30,12,2012,9,6,52,83
2012-12-30 10:00:00,1,0,0,1,0.26,0.2121,0.41,0.5821,30,12,2012,10,6,52,117
2012-12-30 11:00:00,1,0,0,1,0.26,0.2273,0.41,0.4179,30,12,2012,11,6,52,133
2012-12-30 12:00:00,1,0,0,1,0.28,0.2273,0.36,0.5821,30,12,2012,12,6,52,144
2012-12-30 13:00:00,1,0,0,1,0.3,0.2576,0.36,0.6567,30,12,2012,13,6,52,150
2012-12-30 14:00:00,1,0,0,1,0.3,0.2727,0.36,0.4627,30,12,2012,14,6,52,145
2012-12-30 15:00:00,1,0,0,1,0.28,0.2576,0.38,0.3284,30,12,2012,15,6,52,144
2012-12-30 16:00:00,1,0,0,1,0.28,0.2424,0.38,0.4179,30,12,2012,16,6,52,142
2012-12-30 17:00:00,1,0,0,1,0.26,0.2273,0.41,0.3284,30,12,2012,17,6,52,120
2012-12-30 18:00:00,1,0,0,2,0.24,0.2121,0.44,0.2985,30,12,2012,18,6,52,88
2012-12-30 19:00:00,1,0,0,1,0.34,0.3636,0.61,0.0,30,12,2012,19,6,52,116
2012-12-30 20:00:00,1,0,0,1,0.22,0.197,0.47,0.3284,30,12,2012,20,6,52,61
2012-12-30 21:00:00,1,0,0,1,0.2,0.2121,0.51,0.1642,30,12,2012,21,6,52,46
2012-12-30 22:00:00,1,0,0,1,0.2,0.197,0.55,0.194,30,12,2012,22,6,52,40
2012-12-30 23:00:00,1,0,0,1,0.2,0.197,0.51,0.2239,30,12,2012,23,6,52,28
