,day_count
468,1659938
469,1666281
470,1673645
471,1680653
472,1686982
473,1693630
474,1697959
475,1704499
476,1711725
477,1718207
478,1719117
479,1722325
480,1727945
481,1734105
482,1739088
483,1745248
484,1749365
485,1755633
486,1761157
487,1766862
488,1772984
489,1779315
490,1785522
491,1792252
492,1798477
493,1804716
494,1810406
495,1815088
496,1821627
497,1828593
498,1835886
499,1841906
500,1844714
501,1849797
502,1857182
503,1864487
504,1872056
505,1880202
506,1887161
507,1891480
508,1897517
509,1902730
510,1909444
511,1916105
512,1922525
513,1928979
514,1934957
515,1940655
516,1947474
517,1954751
518,1958792
519,1966826
520,1974298
521,1981247
522,1988214
523,1995220
524,2002655
525,2010314
526,2017606
527,2024046
528,2030669
529,2035613
530,2043000
531,2050315
532,2057886
533,2065451
534,2072281
535,2077340
536,2084130
537,2090288
538,2096124
539,2101854
540,2109196
541,2115924
542,2122635
543,2130040
544,2137321
545,2144146
546,2149495
547,2155113
548,2160495
549,2166679
550,2173286
551,2180530
552,2186683
553,2192788
554,2197478
555,2202003
556,2208533
557,2214754
558,2221974
559,2229364
560,2236768
561,2243546
562,2249390
563,2256177
564,2262910
565,2268570
566,2275095
567,2280931
568,2285287
569,2292584
570,2299503
571,2307031
572,2315138
573,2321907
574,2328714
575,2335208
576,2341617
577,2348664
578,2355842
579,2363375
580,2370573
581,2377677
582,2384340
583,2389651
584,2396631
585,2403857
586,2411333
587,2418552
588,2424253
589,2430372
590,2436796
591,2443632
592,2450356
593,2457643
594,2465172
595,2472232
596,2479992
597,2484354
598,2490858
599,2497805
600,2505125
601,2512830
602,2520301
603,2526219
604,2531340
605,2538225
606,2545227
607,2552877
608,2560525
609,2567793
610,2573765
611,2579476
612,2585406
613,2592241
614,2599316
615,2605454
616,2612862
617,2618688
618,2626791
619,2634275
620,2642010
621,2649831
622,2657578
623,2665500
624,2674007
625,2681189
626,2688013
627,2692073
628,2699638
629,2707300
630,2715401
631,2723624
632,2731351
633,2738723
634,2746197
635,2753890
636,2761218
637,2768616
638,2777022
639,2783764
640,2790497
641,2795105
642,2802625
643,2809877
644,2817931
645,2825705
646,2829088
647,2834515
648,2840876
649,2848534
650,2856062
651,2863276
652,2870136
653,2876664
654,2882491
655,2889977
656,2897389
657,2904841
658,2910209
659,2918176
660,2924846
661,2931873
662,2939302
663,2946949
664,2954232
665,2961605
666,2969315
667,2973657
668,2973657
669,2974637
670,2980187
671,2986113
672,2991910
673,2996940
674,3001945
675,3007181
676,3012848
677,3017600
678,3022900
679,3028837
680,3035251
681,3041979
682,3048199
683,3052270
684,3057741
685,3063152
686,3068785
687,3074308
688,3078848
689,3084320
690,3089925
691,3095045
692,3097424
693,3101302
694,3103537
695,3105927
696,3110991
697,3114924
698,3120161
699,3125455
700,3131071
701,3136154
702,3140686
703,3146899
704,3153450
705,3159142
706,3164473
707,3169433
708,3174912
709,3178022
710,3183172
711,3188642
712,3193927
713,3199427
714,3204991
715,3209944
716,3213620
717,3218177
718,3223716
719,3228942
720,3233028
721,3236634
722,3238352
723,0
724,969
725,784
726,1344
727,1557
728,1594
729,1595
730,1493
731,934
732,797
733,1316
734,1251
735,1155
736,1399
737,1407
738,1220
739,1165
740,983
741,680
742,1647
743,1914
744,1522
745,968
746,964
747,1409
748,1976
749,489
750,407
751,1158
752,1070
753,1063
754,1494
755,1352
756,1524
757,1538
758,1695
759,966
760,1584
761,1697
762,1520
763,1588
764,1522
765,1732
766,1442
767,1550
768,1902
769,1796
770,2100
771,2458
772,2895
773,1606
774,1795
775,1070
776,1443
777,1911
778,1796
779,1452
780,1941
781,2368
782,1416
783,1844
784,2126
785,1672
786,1932
787,2058
788,553
789,1868
790,2123
791,1882
792,620
793,1971
794,2098
795,2379
796,2035
797,2042
798,2184
799,2721
800,3210
801,3041
802,2431
803,2064
804,2692
805,2110
806,1854
807,2192
808,2468
809,1662
810,2016
811,2409
812,1525
813,1682
814,2221
815,2220
816,3210
817,3109
818,1773
819,2793
820,3121
821,1446
822,2424
823,2842
824,3325
825,2010
826,2147
827,3246
828,3099
829,752
830,3711
831,3390
832,3179
833,3911
834,4145
835,1650
836,4018
837,4095
838,4061
839,4373
840,3845
841,4004
842,4547
843,5206
844,3255
845,4224
846,4435
847,2606
848,4406
849,4552
850,4628
851,4233
852,4309
853,4785
854,4144
855,4820
856,4053
857,3307
858,4514
859,3920
860,4092
861,3832
862,4546
863,4869
864,5707
865,4529
866,4233
867,4457
868,4943
869,4632
870,4610
871,4664
872,4705
873,3995
874,3953
875,3940
876,4926
877,5244
878,5249
879,4793
880,4519
881,4813
882,4360
883,3868
884,4517
885,4849
886,4341
887,4992
888,4860
889,5128
890,3720
891,4820
892,5015
893,4655
894,3984
895,4802
896,4474
897,4741
898,4928
899,5086
900,5190
901,4676
902,4618
903,5189
904,5461
905,5294
906,5004
907,4505
908,5903
909,4610
910,4592
911,4557
912,3993
913,5215
914,4727
915,4051
916,4236
917,4296
918,5038
919,5458
920,5813
921,5177
922,4407
923,4490
924,4292
925,3742
926,3327
927,3184
928,3487
929,3806
930,4562
931,4611
932,4345
933,3789
934,4342
935,4189
936,4237
937,4816
938,3531
939,4559
940,4812
941,4161
942,3705
943,4296
944,4567
945,4743
946,4746
947,4840
948,4066
949,3730
950,4313
951,4694
952,4670
953,3749
954,4091
955,5063
956,3799
957,4718
958,5860
959,5092
960,3490
961,4610
962,970
963,4333
964,4600
965,5177
966,5026
967,5064
968,4663
969,4397
970,4831
971,3254
972,2702
973,1983
974,1828
975,3528
976,5229
977,4938
978,4697
979,4737
980,4752
981,3622
982,4712
983,4403
984,4162
985,4502
986,3616
987,4325
988,4754
989,2343
990,5330
991,4837
992,4601
993,4083
994,3871
995,4799
996,5142
997,2299
998,2871
999,3554
1000,4429
1001,4783
1002,4725
1003,4918
1004,5320
1005,5382
1006,5064
1007,4533
1008,2391
1009,2898
1010,3605
1011,5111
1012,4934
1013,4533
1014,4717
1015,2390
1016,4169
1017,4254
1018,4212
1019,4293
1020,4155
1021,4657
1022,3862
1023,2633
1024,3703
1025,608
1026,3277
1027,3646
1028,4047
1029,4167
1030,3943
1031,4003
1032,3874
1033,3574
1034,4020
1035,4187
1036,4096
1037,2909
1038,3302
1039,4003
1040,3644
1041,4456
1042,4173
1043,1786
1044,3029
1045,3362
1046,3610
1047,3427
1048,2748
1049,1593
1050,2550
1051,1472
1052,2763
1053,3021
1054,3025
1055,3851
1056,2892
1057,3589
1058,3707
1059,3902
1060,3539
1061,3402
1062,3787
1063,2566
1064,672
1065,3301
1066,3586
1067,3113
1068,2669
1069,3290
1070,3506
1071,3718
1072,3659
1073,3505
1074,2677
1075,2360
1076,3386
1077,3729
1078,2635
1079,3041
1080,2200
1081,988
1082,748
1083,1306
1084,1150
1085,2292
1086,2395
1087,2969
1088,2441
1089,2246
1090,1912
1091,2223
1092,2359
1093,3258
1094,4073
1095,4442
1096,3334
1097,2361
1098,3584
1099,2149
1100,4094
1101,3172
1102,2449
1103,2252
1104,2273
1105,2923
1106,3359
1107,3276
1108,3136
1109,1277
1110,1925
1111,2413
1112,4314
1113,4239
1114,4050
1115,3418
1116,3954
1117,3147
1118,3614
1119,4494
1120,4548
1121,3730
1122,4113
1123,2746
1124,2886
1125,3763
1126,4352
1127,2779
1128,3804
1129,3788
1130,2116
1131,1508
1132,3413
1133,3908
1134,4147
1135,2982
1136,4120
1137,4232
1138,2615
1139,3088
1140,3765
1141,4749
1142,5020
1143,3441
1144,2671
1145,3319
1146,4293
1147,4353
1148,1802
1149,4979
1150,3148
1151,4044
1152,3351
1153,3316
1154,3948
1155,4901
1156,5336
1157,4515
1158,4041
1159,4842
1160,5274
1161,5821
1162,6273
1163,6132
1164,4321
1165,7736
1166,5785
1167,6130
1168,6064
1169,6197
1170,6830
1171,8267
1172,3216
1173,4916
1174,5525
1175,5092
1176,5668
1177,6085
1178,5400
1179,6143
1180,5974
1181,5919
1182,6739
1183,6395
1184,6412
1185,6399
1186,6763
1187,5084
1188,5548
1189,5892
1190,4832
1191,5386
1192,6343
1193,7364
1194,7008
1195,6329
1196,6648
1197,4329
1198,6540
1199,7226
1200,6482
1201,910
1202,3208
1203,5620
1204,6160
1205,4983
1206,6160
1207,4117
1208,6268
1209,5524
1210,5705
1211,6122
1212,6331
1213,6207
1214,6730
1215,6225
1216,6239
1217,5690
1218,4682
1219,6539
1220,6966
1221,7293
1222,6020
1223,2808
1224,5083
1225,7385
1226,7305
1227,7569
1228,8146
1229,6959
1230,4319
1231,6037
1232,5213
1233,6714
1234,6661
1235,6420
1236,6454
1237,5978
1238,5698
1239,6819
1240,7277
1241,4041
1242,8034
1243,7472
1244,6949
1245,6967
1246,7006
1247,7435
1248,7659
1249,7292
1250,6440
1251,6623
1252,4944
1253,7387
1254,7315
1255,7571
1256,7565
1257,6830
1258,5059
1259,6790
1260,6158
1261,5836
1262,5730
1263,7342
1264,6728
1265,6711
1266,7405
1267,7281
1268,6825
1269,5349
1270,5618
1271,5382
1272,6184
1273,6607
1274,7244
1275,6153
1276,6105
1277,4690
1278,4525
1279,6530
1280,6221
1281,7220
1282,7390
1283,7404
1284,6778
1285,5844
1286,6787
1287,6733
1288,5660
1289,6525
1290,5836
1291,4356
1292,7297
1293,6919
1294,7528
1295,8107
1296,6769
1297,6807
1298,6494
1299,6409
1300,7047
1301,7178
1302,7533
1303,7198
1304,7104
1305,6663
1306,5311
1307,6980
1308,7226
1309,7476
1310,7219
1311,5701
1312,6119
1313,6424
1314,6836
1315,6724
1316,7287
1317,7529
1318,7060
1319,7760
1320,4362
1321,6504
1322,6947
1323,7320
1324,7705
1325,7471
1326,5918
1327,5121
1328,6885
1329,7002
1330,7650
1331,7648
1332,7268
1333,5972
1334,5711
1335,5930
1336,6835
1337,7075
1338,6138
1339,7408
1340,5826
1341,8103
1342,7484
1343,7735
1344,7821
1345,7747
1346,7922
1347,8507
1348,7182
1349,6824
1350,4060
1351,7565
1352,7662
1353,8101
1354,8223
1355,7727
1356,7372
1357,7474
1358,7693
1359,7328
1360,7398
1361,8406
1362,6742
1363,6733
1364,4608
1365,7520
1366,7252
1367,8054
1368,7774
1369,3383
1370,5427
1371,6361
1372,7658
1373,7528
1374,7214
1375,6860
1376,6528
1377,5827
1378,7486
1379,7412
1380,7452
1381,5368
1382,7967
1383,6670
1384,7027
1385,7429
1386,7647
1387,7283
1388,7373
1389,7710
1390,4342
1391,0
1392,980
1393,5550
1394,5926
1395,5797
1396,5030
1397,5005
1398,5236
1399,5667
1400,4752
1401,5300
1402,5937
1403,6414
1404,6728
1405,6220
1406,4071
1407,5471
1408,5411
1409,5633
1410,5523
1411,4540
1412,5472
1413,5605
1414,5120
1415,2379
1416,3878
1417,2235
1418,2390
1419,5064
1420,3933
1421,5237
1422,5294
1423,5616
1424,5083
1425,4532
1426,6213
1427,6551
1428,5692
1429,5331
1430,4960
1431,5479
1432,3110
1433,5150
1434,5470
1435,5285
1436,5500
1437,5564
1438,4953
1439,3676
1440,4557
1441,5539
1442,5226
1443,4086
1444,3606
1445,1718
