,date,day_count
286,2011-10-13,2898
287,2011-10-14,3605
288,2011-10-15,5111
289,2011-10-16,4934
290,2011-10-17,4533
291,2011-10-18,4717
292,2011-10-19,2390
293,2011-10-20,4169
294,2011-10-21,4254
295,2011-10-22,4212
296,2011-10-23,4293
297,2011-10-24,4155
298,2011-10-25,4657
299,2011-10-26,3862
300,2011-10-27,2633
301,2011-10-28,3703
302,2011-10-29,608
303,2011-10-30,3277
304,2011-10-31,3646
305,2011-01-11,4047
306,2011-02-11,4167
307,2011-03-11,3943
308,2011-04-11,4003
309,2011-05-11,3874
310,2011-06-11,3574
311,2011-07-11,4020
312,2011-08-11,4187
313,2011-09-11,4096
314,2011-10-11,2909
315,2011-11-11,3302
316,2011-12-11,4003
317,2011-11-13,3644
318,2011-11-14,4456
319,2011-11-15,4173
320,2011-11-16,1786
321,2011-11-17,3029
322,2011-11-18,3362
323,2011-11-19,3610
324,2011-11-20,3427
325,2011-11-21,2748
326,2011-11-22,1593
327,2011-11-23,2550
328,2011-11-24,1472
329,2011-11-25,2763
330,2011-11-26,3021
331,2011-11-27,3025
332,2011-11-28,3851
333,2011-11-29,2892
334,2011-11-30,3589
335,2011-01-12,3707
336,2011-02-12,3902
337,2011-03-12,3539
338,2011-04-12,3402
339,2011-05-12,3787
340,2011-06-12,2566
341,2011-07-12,672
342,2011-08-12,3301
343,2011-09-12,3586
344,2011-10-12,3113
345,2011-11-12,2669
346,2011-12-12,3290
347,2011-12-13,3506
348,2011-12-14,3718
349,2011-12-15,3659
350,2011-12-16,3505
351,2011-12-17,2677
352,2011-12-18,2360
353,2011-12-19,3386
354,2011-12-20,3729
355,2011-12-21,2635
356,2011-12-22,3041
357,2011-12-23,2200
358,2011-12-24,988
359,2011-12-25,748
360,2011-12-26,1306
361,2011-12-27,1150
362,2011-12-28,2292
363,2011-12-29,2395
364,2011-12-30,2969
365,2011-12-31,2441
366,2012-01-01,2246
367,2012-02-01,1912
368,2012-03-01,2223
369,2012-04-01,2359
370,2012-05-01,3258
371,2012-06-01,4073
372,2012-07-01,4442
373,2012-08-01,3334
374,2012-09-01,2361
375,2012-10-01,3584
376,2012-11-01,2149
377,2012-12-01,4094
378,2012-01-13,3172
379,2012-01-14,2449
380,2012-01-15,2252
381,2012-01-16,2273
382,2012-01-17,2923
383,2012-01-18,3359
384,2012-01-19,3276
385,2012-01-20,3136
386,2012-01-21,1277
387,2012-01-22,1925
388,2012-01-23,2413
389,2012-01-24,4314
390,2012-01-25,4239
391,2012-01-26,4050
392,2012-01-27,3418
393,2012-01-28,3954
394,2012-01-29,3147
395,2012-01-30,3614
396,2012-01-31,4494
397,2012-01-02,4548
398,2012-02-02,3730
399,2012-03-02,4113
400,2012-04-02,2746
401,2012-05-02,2886
402,2012-06-02,3763
403,2012-07-02,4352
404,2012-08-02,2779
405,2012-09-02,3804
406,2012-10-02,3788
407,2012-11-02,2116
408,2012-12-02,1508
409,2012-02-13,3413
410,2012-02-14,3908
411,2012-02-15,4147
412,2012-02-16,2982
413,2012-02-17,4120
414,2012-02-18,4232
415,2012-02-19,2615
416,2012-02-20,3088
417,2012-02-21,3765
418,2012-02-22,4749
419,2012-02-23,5020
420,2012-02-24,3441
421,2012-02-25,2671
422,2012-02-26,3319
423,2012-02-27,4293
424,2012-02-28,4353
425,2012-02-29,1802
426,2012-01-03,4979
427,2012-02-03,3148
428,2012-03-03,4044
429,2012-04-03,3351
430,2012-05-03,3316
431,2012-06-03,3948
432,2012-07-03,4901
433,2012-08-03,5336
434,2012-09-03,4515
435,2012-10-03,4041
436,2012-11-03,4842
437,2012-12-03,5274
438,2012-03-13,5821
439,2012-03-14,6273
440,2012-03-15,6132
441,2012-03-16,4321
442,2012-03-17,7736
443,2012-03-18,5785
444,2012-03-19,6130
445,2012-03-20,6064
446,2012-03-21,6197
447,2012-03-22,6830
448,2012-03-23,8267
449,2012-03-24,3216
450,2012-03-25,4916
451,2012-03-26,5525
452,2012-03-27,5092
453,2012-03-28,5668
454,2012-03-29,6085
455,2012-03-30,5400
456,2012-03-31,6143
457,2012-01-04,5974
458,2012-02-04,5919
459,2012-03-04,6739
460,2012-04-04,6395
461,2012-05-04,6412
462,2012-06-04,6399
463,2012-07-04,6763
464,2012-08-04,5084
465,2012-09-04,5548
466,2012-10-04,5892
467,2012-11-04,4832
468,2012-12-04,5386
469,2012-04-13,6343
470,2012-04-14,7364
471,2012-04-15,7008
472,2012-04-16,6329
473,2012-04-17,6648
474,2012-04-18,4329
475,2012-04-19,6540
476,2012-04-20,7226
477,2012-04-21,6482
478,2012-04-22,910
479,2012-04-23,3208
480,2012-04-24,5620
481,2012-04-25,6160
482,2012-04-26,4983
483,2012-04-27,6160
484,2012-04-28,4117
485,2012-04-29,6268
486,2012-04-30,5524
487,2012-01-05,5705
488,2012-02-05,6122
489,2012-03-05,6331
490,2012-04-05,6207
491,2012-05-05,6730
492,2012-06-05,6225
493,2012-07-05,6239
494,2012-08-05,5690
495,2012-09-05,4682
496,2012-10-05,6539
497,2012-11-05,6966
498,2012-12-05,7293
499,2012-05-13,6020
500,2012-05-14,2808
501,2012-05-15,5083
502,2012-05-16,7385
503,2012-05-17,7305
504,2012-05-18,7569
505,2012-05-19,8146
506,2012-05-20,6959
507,2012-05-21,4319
508,2012-05-22,6037
509,2012-05-23,5213
510,2012-05-24,6714
511,2012-05-25,6661
512,2012-05-26,6420
513,2012-05-27,6454
514,2012-05-28,5978
515,2012-05-29,5698
516,2012-05-30,6819
517,2012-05-31,7277
518,2012-01-06,4041
519,2012-02-06,8034
520,2012-03-06,7472
521,2012-04-06,6949
522,2012-05-06,6967
523,2012-06-06,7006
524,2012-07-06,7435
525,2012-08-06,7659
526,2012-09-06,7292
527,2012-10-06,6440
528,2012-11-06,6623
529,2012-12-06,4944
530,2012-06-13,7387
531,2012-06-14,7315
532,2012-06-15,7571
533,2012-06-16,7565
534,2012-06-17,6830
535,2012-06-18,5059
536,2012-06-19,6790
537,2012-06-20,6158
538,2012-06-21,5836
539,2012-06-22,5730
540,2012-06-23,7342
541,2012-06-24,6728
542,2012-06-25,6711
543,2012-06-26,7405
544,2012-06-27,7281
545,2012-06-28,6825
546,2012-06-29,5349
547,2012-06-30,5618
548,2012-01-07,5382
549,2012-02-07,6184
550,2012-03-07,6607
551,2012-04-07,7244
552,2012-05-07,6153
553,2012-06-07,6105
554,2012-07-07,4690
555,2012-08-07,4525
556,2012-09-07,6530
557,2012-10-07,6221
558,2012-11-07,7220
559,2012-12-07,7390
560,2012-07-13,7404
561,2012-07-14,6778
562,2012-07-15,5844
563,2012-07-16,6787
564,2012-07-17,6733
565,2012-07-18,5660
566,2012-07-19,6525
567,2012-07-20,5836
568,2012-07-21,4356
569,2012-07-22,7297
570,2012-07-23,6919
571,2012-07-24,7528
572,2012-07-25,8107
573,2012-07-26,6769
574,2012-07-27,6807
575,2012-07-28,6494
576,2012-07-29,6409
577,2012-07-30,7047
578,2012-07-31,7178
579,2012-01-08,7533
580,2012-02-08,7198
581,2012-03-08,7104
582,2012-04-08,6663
583,2012-05-08,5311
584,2012-06-08,6980
585,2012-07-08,7226
586,2012-08-08,7476
587,2012-09-08,7219
588,2012-10-08,5701
589,2012-11-08,6119
590,2012-12-08,6424
591,2012-08-13,6836
592,2012-08-14,6724
593,2012-08-15,7287
594,2012-08-16,7529
595,2012-08-17,7060
596,2012-08-18,7760
597,2012-08-19,4362
598,2012-08-20,6504
599,2012-08-21,6947
600,2012-08-22,7320
601,2012-08-23,7705
602,2012-08-24,7471
603,2012-08-25,5918
604,2012-08-26,5121
605,2012-08-27,6885
606,2012-08-28,7002
607,2012-08-29,7650
608,2012-08-30,7648
609,2012-08-31,7268
610,2012-01-09,5972
611,2012-02-09,5711
612,2012-03-09,5930
613,2012-04-09,6835
614,2012-05-09,7075
615,2012-06-09,6138
616,2012-07-09,7408
617,2012-08-09,5826
618,2012-09-09,8103
619,2012-10-09,7484
620,2012-11-09,7735
621,2012-12-09,7821
622,2012-09-13,7747
623,2012-09-14,7922
624,2012-09-15,8507
625,2012-09-16,7182
626,2012-09-17,6824
627,2012-09-18,4060
628,2012-09-19,7565
629,2012-09-20,7662
630,2012-09-21,8101
631,2012-09-22,8223
632,2012-09-23,7727
633,2012-09-24,7372
634,2012-09-25,7474
635,2012-09-26,7693
636,2012-09-27,7328
637,2012-09-28,7398
638,2012-09-29,8406
639,2012-09-30,6742
640,2012-01-10,6733
641,2012-02-10,4608
642,2012-03-10,7520
643,2012-04-10,7252
644,2012-05-10,8054
645,2012-06-10,7774
646,2012-07-10,3383
647,2012-08-10,5427
648,2012-09-10,6361
649,2012-10-10,7658
650,2012-11-10,7528
651,2012-12-10,7214
652,2012-10-13,6860
653,2012-10-14,6528
654,2012-10-15,5827
655,2012-10-16,7486
656,2012-10-17,7412
657,2012-10-18,7452
658,2012-10-19,5368
659,2012-10-20,7967
660,2012-10-21,6670
661,2012-10-22,7027
662,2012-10-23,7429
663,2012-10-24,7647
664,2012-10-25,7283
665,2012-10-26,7373
666,2012-10-27,7710
667,2012-10-28,4342
668,2012-10-29,0
669,2012-10-30,980
670,2012-10-31,5550
671,2012-01-11,5926
672,2012-02-11,5797
673,2012-03-11,5030
674,2012-04-11,5005
675,2012-05-11,5236
676,2012-06-11,5667
677,2012-07-11,4752
678,2012-08-11,5300
679,2012-09-11,5937
680,2012-10-11,6414
681,2012-11-11,6728
682,2012-12-11,6220
683,2012-11-13,4071
684,2012-11-14,5471
685,2012-11-15,5411
686,2012-11-16,5633
687,2012-11-17,5523
688,2012-11-18,4540
689,2012-11-19,5472
690,2012-11-20,5605
691,2012-11-21,5120
692,2012-11-22,2379
693,2012-11-23,3878
694,2012-11-24,2235
695,2012-11-25,2390
696,2012-11-26,5064
697,2012-11-27,3933
698,2012-11-28,5237
699,2012-11-29,5294
700,2012-11-30,5616
701,2012-01-12,5083
702,2012-02-12,4532
703,2012-03-12,6213
704,2012-04-12,6551
705,2012-05-12,5692
706,2012-06-12,5331
707,2012-07-12,4960
708,2012-08-12,5479
709,2012-09-12,3110
710,2012-10-12,5150
711,2012-11-12,5470
712,2012-12-12,5285
713,2012-12-13,5500
714,2012-12-14,5564
715,2012-12-15,4953
716,2012-12-16,3676
717,2012-12-17,4557
718,2012-12-18,5539
719,2012-12-19,5226
720,2012-12-20,4086
721,2012-12-21,3606
722,2012-12-22,1718
